商家編號,資本額,交易金額
1,500000,700000
2,200000,400000
3,150000,200000
4,200000,350000
5,1000000,1700000
6,2000000,3000000
7,600000,600000
8,400000,450000
9,300000,300000
10,300000,400000
11,200000,400000
12,1400000,2000000
13,0,0
14,500000,400000
15,400000,600000
16,700000,1300000
17,1300000,2100000
18,300000,400000
19,300000,500000
20,250000,300000
21,250000,500000
22,400000,900000
23,0,0
24,300000,600000
25,0,0
26,450000,900000
27,1000000,1400000
28,800000,1400000
29,800000,1000000
30,400000,250000
31,400000,450000
32,600000,600000
33,800000,700000
34,800000,1200000
35,600000,900000
36,300000,400000
37,300000,450000
38,200000,400000
39,400000,850000
40,1500000,2200000
41,350000,400000
42,350000,500000
43,400000,600000
44,350000,600000
45,350000,500000
46,250000,450000
47,0,0
48,250000,400000
49,300000,450000
50,200000,200000
51,350000,500000
52,0,0
53,300000,250000
54,500000,500000
55,400000,500000
56,300000,600000
57,500000,800000
58,250000,200000
59,600000,1000000
60,150000,300000
61,350000,600000
62,300000,500000
63,150000,150000
64,500000,800000
65,500000,800000
66,600000,600000
67,3000000,4000000
68,2500000,5000000
69,1000000,1500000
70,400000,500000
71,600000,800000
72,800000,800000
73,0,0
74,250000,400000
75,450000,1000000
