商家編號,商家名稱 (單位: min),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
1,Shallot 紅蔥餐館 貳號店,0.00 ,2.00 ,1.00 ,9.00 ,9.25 ,1.75 ,4.25 ,4.75 ,4.75 ,4.75 ,2.75 ,6.25 ,3.75 ,4.75 ,4.25 ,6.00 ,8.00 ,7.25 ,8.50 ,7.75 ,4.25 ,4.50 ,6.25 ,4.25 ,4.75 ,4.75 ,6.00 ,3.50 ,7.00 ,8.25 ,3.00 ,2.50 ,4.00 ,4.00 ,6.75 ,7.25 ,7.00 ,6.50 ,7.00 ,7.25 ,6.25 ,9.50 ,8.00 ,6.75 ,8.50 ,7.75 ,7.50 ,6.50 ,7.75 ,6.00 ,7.50 ,8.00 ,6.00 ,6.00 ,6.00 ,8.25 ,8.00 ,8.00 ,2.25 ,2.50 ,1.50 ,1.75 ,3.00 ,3.75 ,10.00 ,3.50 ,8.25 ,2.50 ,2.00 ,2.75 ,1.25 ,1.50 ,2.00 ,3.75 ,3.00 
2,三角冰冰品專賣店,2.00 ,0.00 ,1.25 ,11.00 ,11.25 ,3.75 ,6.25 ,6.25 ,6.75 ,6.75 ,4.75 ,8.25 ,5.75 ,6.75 ,6.25 ,8.00 ,10.00 ,9.25 ,10.50 ,9.75 ,6.50 ,6.75 ,8.25 ,6.25 ,6.75 ,6.75 ,8.00 ,5.50 ,9.00 ,10.25 ,5.00 ,4.50 ,6.00 ,6.00 ,8.75 ,9.25 ,9.00 ,8.50 ,9.00 ,9.25 ,8.25 ,11.50 ,10.00 ,8.75 ,10.50 ,9.75 ,9.50 ,8.50 ,9.75 ,8.25 ,9.50 ,10.00 ,8.00 ,8.00 ,8.00 ,10.25 ,10.00 ,10.00 ,4.25 ,4.25 ,3.50 ,3.75 ,4.75 ,5.50 ,12.00 ,5.50 ,10.00 ,4.50 ,4.00 ,4.50 ,3.25 ,3.25 ,4.00 ,5.75 ,4.75 
3,自由51,1.00 ,1.25 ,0.00 ,10.00 ,10.25 ,2.50 ,5.00 ,5.00 ,5.75 ,5.50 ,3.75 ,7.25 ,4.50 ,5.50 ,5.00 ,6.75 ,8.75 ,8.00 ,9.25 ,8.75 ,5.25 ,5.50 ,7.25 ,5.25 ,5.75 ,5.50 ,7.00 ,4.25 ,8.00 ,9.00 ,4.00 ,3.50 ,5.00 ,5.00 ,7.50 ,8.25 ,7.75 ,7.50 ,8.00 ,8.00 ,7.00 ,10.25 ,8.75 ,7.75 ,9.25 ,8.50 ,8.25 ,7.50 ,8.50 ,7.00 ,8.25 ,8.75 ,6.75 ,6.75 ,6.75 ,9.00 ,8.75 ,8.75 ,3.00 ,2.25 ,2.50 ,3.75 ,3.75 ,4.50 ,10.75 ,4.25 ,9.00 ,3.25 ,2.75 ,3.50 ,2.00 ,2.25 ,2.75 ,4.50 ,3.75 
4,有意樹桿咖啡 ArTree Cafe',9.00 ,11.00 ,10.00 ,0.00 ,1.00 ,8.75 ,6.75 ,7.75 ,7.50 ,7.00 ,7.50 ,11.50 ,9.25 ,9.75 ,9.75 ,11.50 ,11.75 ,2.75 ,6.50 ,6.50 ,9.25 ,9.50 ,9.25 ,9.00 ,9.50 ,9.25 ,8.25 ,9.25 ,3.25 ,6.25 ,6.75 ,7.25 ,5.25 ,5.00 ,2.25 ,11.25 ,9.00 ,10.75 ,10.00 ,10.00 ,10.75 ,8.00 ,9.25 ,2.75 ,1.00 ,1.75 ,4.00 ,5.75 ,4.75 ,5.75 ,5.75 ,9.50 ,6.25 ,6.25 ,6.75 ,1.50 ,2.75 ,4.00 ,8.75 ,9.00 ,9.50 ,9.00 ,9.50 ,10.25 ,13.25 ,10.50 ,12.50 ,9.50 ,9.00 ,10.75 ,1.75 ,9.50 ,9.00 ,10.50 ,9.25 
5,老先覺麻辣窯燒鍋 台北和平三店,9.25 ,11.25 ,10.25 ,1.00 ,0.00 ,9.00 ,7.00 ,7.75 ,7.75 ,7.25 ,7.75 ,11.75 ,9.50 ,10.00 ,10.00 ,5.75 ,12.25 ,3.25 ,7.25 ,7.00 ,9.50 ,9.75 ,10.00 ,9.25 ,9.75 ,9.50 ,9.00 ,9.25 ,3.75 ,6.75 ,7.00 ,7.25 ,5.50 ,5.25 ,2.75 ,12.00 ,9.50 ,11.25 ,10.50 ,10.75 ,11.00 ,8.75 ,9.75 ,2.50 ,1.25 ,2.00 ,4.50 ,6.25 ,5.25 ,6.50 ,6.50 ,10.00 ,6.50 ,6.75 ,7.25 ,1.50 ,3.50 ,4.75 ,9.00 ,9.25 ,9.50 ,9.25 ,9.75 ,10.50 ,13.75 ,10.75 ,13.00 ,9.75 ,9.25 ,11.00 ,2.00 ,9.50 ,9.25 ,10.75 ,9.50 
6,龐德羅莎(台大店),1.75 ,3.75 ,2.50 ,8.75 ,9.00 ,0.00 ,2.75 ,2.75 ,3.25 ,3.00 ,1.25 ,4.75 ,2.00 ,3.00 ,2.50 ,4.25 ,6.25 ,6.75 ,7.25 ,6.50 ,2.75 ,3.00 ,4.75 ,2.50 ,3.25 ,3.00 ,4.50 ,1.75 ,6.50 ,7.00 ,3.00 ,2.50 ,3.50 ,3.75 ,6.25 ,5.50 ,5.25 ,5.00 ,5.25 ,5.50 ,4.50 ,7.75 ,6.25 ,6.50 ,8.00 ,7.25 ,7.00 ,5.50 ,6.50 ,5.00 ,6.25 ,6.25 ,4.75 ,4.75 ,4.75 ,7.75 ,7.25 ,7.25 ,0.75 ,1.25 ,1.25 ,1.00 ,2.00 ,2.75 ,8.25 ,2.75 ,6.75 ,1.75 ,1.00 ,2.50 ,1.25 ,1.25 ,1.25 ,2.75 ,1.50 
7,活大餐廳,4.25 ,6.25 ,5.00 ,6.75 ,7.00 ,2.75 ,0.00 ,1.25 ,1.25 ,1.00 ,1.50 ,5.50 ,3.00 ,3.25 ,3.25 ,5.25 ,7.00 ,4.75 ,4.50 ,4.00 ,2.75 ,3.00 ,4.75 ,2.50 ,3.25 ,3.00 ,4.00 ,2.75 ,4.50 ,4.75 ,2.25 ,3.00 ,1.50 ,2.00 ,4.50 ,6.50 ,5.25 ,5.50 ,5.75 ,6.25 ,5.25 ,6.00 ,6.25 ,4.50 ,6.00 ,5.25 ,4.50 ,2.75 ,4.25 ,2.50 ,3.50 ,6.50 ,2.00 ,2.00 ,2.00 ,5.75 ,5.50 ,5.25 ,2.75 ,3.00 ,3.25 ,3.00 ,3.25 ,4.00 ,9.00 ,4.25 ,7.50 ,3.50 ,3.00 ,5.25 ,3.50 ,3.50 ,3.00 ,4.25 ,3.25 
8,摩斯漢堡 台大小福店,4.75 ,6.25 ,5.00 ,7.75 ,7.75 ,2.75 ,1.25 ,0.00 ,0.75 ,0.75 ,1.50 ,4.50 ,2.00 ,2.25 ,2.25 ,4.00 ,6.00 ,6.00 ,6.00 ,4.75 ,1.75 ,2.00 ,3.75 ,1.50 ,2.00 ,2.00 ,2.75 ,2.00 ,5.50 ,5.25 ,3.25 ,3.25 ,2.50 ,3.00 ,5.50 ,5.50 ,4.25 ,4.50 ,4.75 ,5.00 ,4.25 ,6.25 ,5.00 ,5.50 ,7.00 ,6.50 ,5.25 ,3.75 ,4.75 ,3.25 ,5.00 ,5.25 ,3.00 ,4.00 ,3.75 ,6.75 ,6.25 ,6.00 ,3.00 ,3.00 ,3.50 ,3.25 ,2.50 ,3.25 ,8.00 ,3.50 ,6.50 ,3.00 ,3.25 ,5.25 ,3.75 ,3.50 ,3.50 ,3.50 ,2.50 
9,稍飽 燒肉廚房,4.75 ,6.75 ,5.75 ,7.50 ,7.75 ,3.25 ,1.25 ,0.75 ,0.00 ,0.75 ,2.00 ,4.75 ,2.75 ,3.00 ,3.00 ,4.75 ,6.50 ,5.75 ,5.50 ,4.75 ,2.50 ,2.75 ,3.50 ,2.25 ,2.75 ,2.50 ,2.50 ,2.50 ,5.00 ,4.75 ,3.50 ,4.00 ,2.75 ,3.00 ,5.25 ,5.50 ,4.00 ,4.25 ,4.50 ,4.75 ,4.00 ,6.00 ,4.75 ,5.25 ,6.75 ,6.25 ,4.75 ,3.25 ,4.25 ,2.75 ,4.25 ,5.00 ,2.50 ,3.25 ,3.25 ,6.50 ,5.75 ,5.50 ,3.75 ,3.75 ,4.00 ,3.75 ,3.00 ,3.75 ,8.50 ,4.00 ,6.75 ,3.50 ,4.00 ,5.75 ,4.25 ,4.25 ,4.00 ,4.25 ,3.25 
10,女九餐廳,4.75 ,6.75 ,5.50 ,7.00 ,7.25 ,3.00 ,1.00 ,0.75 ,0.75 ,0.00 ,2.00 ,5.25 ,3.00 ,3.25 ,3.00 ,5.00 ,7.00 ,5.00 ,5.00 ,4.75 ,2.75 ,3.00 ,4.00 ,2.25 ,3.00 ,2.75 ,3.25 ,2.75 ,4.75 ,4.50 ,2.75 ,3.50 ,2.00 ,2.25 ,4.50 ,6.00 ,4.50 ,5.00 ,5.00 ,5.50 ,4.75 ,6.75 ,5.25 ,4.75 ,6.25 ,5.50 ,4.25 ,3.00 ,4.00 ,2.50 ,4.00 ,5.75 ,2.25 ,3.00 ,3.00 ,6.00 ,5.50 ,5.25 ,3.75 ,3.75 ,4.00 ,3.75 ,3.25 ,4.00 ,9.00 ,4.25 ,7.25 ,3.75 ,3.75 ,5.75 ,4.25 ,4.00 ,4.00 ,4.25 ,3.25 
11,小木屋鬆餅(台大店),2.75 ,4.75 ,3.75 ,7.50 ,7.75 ,1.25 ,1.50 ,1.50 ,2.00 ,2.00 ,0.00 ,4.75 ,2.25 ,3.25 ,2.75 ,4.50 ,6.50 ,5.75 ,6.50 ,6.00 ,2.75 ,3.00 ,4.75 ,2.50 ,3.00 ,3.00 ,4.00 ,2.00 ,5.25 ,6.00 ,2.50 ,2.00 ,2.50 ,2.75 ,5.25 ,5.75 ,5.50 ,5.00 ,5.50 ,5.75 ,4.75 ,7.50 ,6.25 ,5.25 ,6.75 ,6.25 ,5.75 ,4.25 ,5.50 ,4.00 ,5.50 ,6.50 ,3.75 ,4.50 ,4.50 ,6.50 ,6.25 ,6.25 ,1.75 ,2.25 ,2.00 ,1.75 ,2.00 ,3.00 ,8.50 ,3.00 ,7.00 ,2.50 ,1.75 ,3.75 ,2.25 ,2.00 ,2.00 ,3.25 ,2.25 
12,錢都日式涮涮鍋-師大直營店,6.25 ,8.25 ,7.25 ,11.50 ,11.75 ,4.75 ,5.50 ,4.50 ,4.75 ,5.25 ,4.75 ,0.00 ,3.00 ,2.50 ,2.50 ,0.25 ,1.50 ,9.25 ,7.00 ,5.75 ,3.00 ,3.00 ,2.25 ,3.00 ,3.00 ,3.25 ,3.25 ,3.25 ,8.50 ,7.25 ,7.25 ,6.75 ,6.75 ,7.00 ,9.00 ,1.00 ,2.75 ,0.75 ,1.50 ,1.50 ,1.00 ,7.25 ,4.00 ,9.25 ,10.75 ,10.00 ,8.25 ,7.25 ,7.75 ,6.50 ,6.75 ,2.50 ,6.25 ,7.00 ,6.50 ,10.50 ,9.25 ,9.00 ,4.25 ,4.00 ,5.00 ,4.75 ,3.50 ,3.25 ,3.50 ,4.50 ,2.25 ,4.00 ,4.25 ,7.00 ,5.00 ,5.00 ,4.75 ,3.25 ,3.50 
