°Ó®a½s¸¹,¬Õ¾l
1,200000
2,300000
3,150000
4,50000
5,800000
6,1000000
7,200000
8,350000
9,250000
10,50000
11,200000
12,1400000
13,0
14,0
15,400000
16,700000
17,1200000
18,100000
19,350000
20,0
21,500000
22,500000
23,0
24,600000
25,0
26,600000
27,600000
28,550000
29,400000
30,0
31,250000
32,500000
33,0
34,500000
35,200000
36,0
37,200000
38,150000
39,250000
40,800000
41,0
42,350000
43,400000
44,400000
45,150000
46,350000
47,0
48,250000
49,200000
50,0
51,250000
52,0
53,300000
54,200000
55,400000
56,400000
57,500000
58,50000
59,500000
60,350000
61,350000
62,300000
63,0
64,800000
65,0
66,400000
67,3000000
68,1500000
69,700000
70,200000
71,600000
72,0
73,0
74,150000
75,500000
