商家編號,資本額,交易金額
1,500000,700000
2,150000,300000
3,200000,200000
4,200000,350000
5,1000000,1500000
6,2000000,3000000
7,600000,800000
8,400000,500000
9,250000,300000
10,350000,400000
11,200000,300000
12,1400000,2000000
13,500000,400000
14,600000,600000
15,400000,600000
16,700000,1200000
17,1300000,2200000
18,300000,500000
19,300000,500000
20,250000,400000
21,250000,600000
22,400000,1000000
23,200000,100000
24,300000,500000
25,250000,100000
26,450000,800000
27,1000000,1300000
28,800000,1000000
29,800000,1000000
30,400000,500000
31,400000,500000
32,600000,800000
33,800000,1000000
34,800000,1000000
35,600000,800000
36,300000,500000
37,300000,400000
38,200000,300000
39,400000,800000
40,1500000,2500000
41,350000,400000
42,350000,400000
43,400000,1000000
44,350000,600000
45,350000,600000
46,250000,300000
47,250000,150000
48,250000,350000
49,300000,400000
50,300000,400000
51,350000,400000
52,400000,200000
53,300000,300000
54,450000,500000
55,400000,600000
56,300000,400000
57,500000,800000
58,250000,250000
59,600000,1000000
60,150000,400000
61,350000,600000
62,300000,500000
63,150000,200000
64,500000,700000
65,400000,600000
66,600000,700000
67,3000000,5000000
68,2500000,4000000
69,1000000,1500000
70,300000,400000
71,600000,800000
72,800000,1000000
73,250000,150000
74,250000,300000
75,400000,1000000
